category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
KEGG	hsa04012	2	81	9606	CBL,SHC1	CBL,SHC1	0.00094	0.0197	ErbB signaling pathway
KEGG	hsa04640	2	90	9606	CD3D,CD3E	CD3D,CD3E	0.0012	0.0228	Hematopoietic cell lineage
KEGG	hsa04064	2	101	9606	ZAP70,LCK	ZAP70,LCK	0.0014	0.0269	NF-kappa B signaling pathway
KEGG	hsa04910	2	132	9606	CBL,SHC1	CBL,SHC1	0.0024	0.0429	Insulin signaling pathway
KEGG	hsa05162	2	137	9606	CD3D,CD3E	CD3D,CD3E	0.0026	0.0438	Measles
SMART	SM00252	5	112	9606	LCP2,ZAP70,SHC1,VAV1,LCK	LCP2,ZAP70,SHC1,VAV1,LCK	3.04e-09	2.49e-06	Src homology 2 domains
SMART	SM00077	3	8	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	2.13e-08	8.74e-06	Immunoreceptor tyrosine-based activation motif
InterPro	IPR036860	6	115	9606	LCP2,CBL,ZAP70,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,SHC1,VAV1,LCK	2.13e-11	1.53e-07	SH2 domain superfamily
InterPro	IPR000980	5	111	9606	LCP2,ZAP70,SHC1,VAV1,LCK	LCP2,ZAP70,SHC1,VAV1,LCK	2.91e-09	1.04e-05	SH2 domain
InterPro	IPR003110	3	9	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	2.84e-08	6.79e-05	Phosphorylated immunoreceptor signalling ITAM
InterPro	IPR015484	2	3	9606	CD3D,CD3E	CD3D,CD3E	2.83e-06	0.0051	CD3 protein, epsilon/gamma/delta subunit
PMID	PMID:19909352	9	36	9606	LCP2,CBL,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	3.93e-23	2.02e-16	(2009) Organization of proximal signal initiation at the TCR:CD3 complex.
PMID	PMID:10662792	8	26	9606	LCP2,CBL,ZAP70,CD247,LAT,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD247,LAT,SHC1,VAV1,LCK	5.29e-21	1.36e-14	(2000) Src-like adaptor protein (SLAP) is a negative regulator of T cell receptor signaling.
PMID	PMID:22701458	8	37	9606	LCP2,CBL,ZAP70,CD3D,CD247,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,SHC1,VAV1,LCK	6.27e-20	1.08e-13	(2012) Lck, Membrane Microdomains, and TCR Triggering Machinery: Defining the New Rules of Engagement.
PMID	PMID:10209041	8	40	9606	LCP2,CBL,ZAP70,CD247,LAT,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD247,LAT,SHC1,VAV1,LCK	1.1e-19	1.41e-13	(1999) GrpL, a Grb2-related adaptor protein, interacts with SLP-76 to regulate nuclear factor of activated T cell activation.
PMID	PMID:34169073	8	43	9606	LCP2,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	LCP2,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	1.85e-19	1.61e-13	(2021) Wiskott-Aldrich Syndrome Protein: Roles in Signal Transduction in T Cells.
PMID	PMID:26043137	8	44	9606	LCP2,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	LCP2,ZAP70,CD3D,CD247,LAT,SHC1,VAV1,LCK	2.19e-19	1.61e-13	(2015) Vav1 Regulates T-Cell Activation through a Feedback Mechanism and Crosstalk between the T-Cell Receptor and CD28.
PMID	PMID:19909358	8	42	9606	LCP2,CBL,ZAP70,CD3D,LAT,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,LAT,SHC1,VAV1,LCK	1.56e-19	1.61e-13	(2009) Endocytic events in TCR signaling: focus on adapters in microclusters.
PMID	PMID:23071622	8	47	9606	LCP2,CBL,ZAP70,CD3D,LAT,SHC1,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,LAT,SHC1,VAV1,LCK	3.54e-19	2.28e-13	(2012) Quantitative phosphoproteomics reveals SLP-76 dependent regulation of PAG and Src family kinases in T cells.
PMID	PMID:34592497	8	59	9606	LCP2,CBL,ZAP70,CD3D,CD247,LAT,VAV1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,LAT,VAV1,LCK	1.89e-18	9.53e-13	(2022) The role of endocytic trafficking in antigen T cell receptor activation.
PMID	PMID:36498890	8	58	9606	LCP2,CBL,ZAP70,CD3D,CD247,LAT,SHC1,LCK	LCP2,CBL,ZAP70,CD3D,CD247,LAT,SHC1,LCK	1.67e-18	9.53e-13	(2022) Joining Forces for Cancer Treatment: From TCR versus CAR to TCR and CAR.
PMID	PMID:34149695	7	21	9606	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	LCP2,CBL,ZAP70,CD247,LAT,VAV1,LCK	1.7e-18	9.53e-13	(2021) Identification and Characterization of the Amphioxus Lck and Its Associated Tyrosine Phosphorylation-Dependent Inhibitory LRR Receptor.
