category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	HP:0001744	6	382	9606	CBL,ZAP70,CD3D,CD3E,CD247,LAT	CBL,ZAP70,CD3D,CD3E,CD247,LAT	2.38e-08	1e-05	Splenomegaly
HPO	HP:0045080	3	10	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	3.69e-08	1.36e-05	Decreased proportion of CD3-positive T cells
HPO	HP:0002039	4	63	9606	CBL,CD3D,CD3E,CD247	CBL,CD3D,CD3E,CD247	3.95e-08	1.42e-05	Anorexia
HPO	HP:0002721	5	192	9606	CD3D,CD3E,CD247,LAT,LCK	CD3D,CD3E,CD247,LAT,LCK	4.17e-08	1.45e-05	Immunodeficiency
HPO	HP:0004385	3	11	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	4.69e-08	1.59e-05	Protracted diarrhea
HPO	HP:0002722	3	12	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	5.86e-08	1.93e-05	Recurrent abscess formation
HPO	HP:0002205	6	472	9606	ZAP70,CD3D,CD3E,CD247,LAT,LCK	ZAP70,CD3D,CD3E,CD247,LAT,LCK	8.22e-08	2.51e-05	Recurrent respiratory infections
HPO	HP:0025408	6	475	9606	CBL,ZAP70,CD3D,CD3E,CD247,LAT	CBL,ZAP70,CD3D,CD3E,CD247,LAT	8.53e-08	2.54e-05	Abnormal spleen morphology
HPO	HP:0002088	7	893	9606	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	1.14e-07	3.08e-05	Abnormal lung morphology
HPO	HP:0032309	5	236	9606	CBL,ZAP70,CD3D,CD3E,CD247	CBL,ZAP70,CD3D,CD3E,CD247	1.14e-07	3.08e-05	Abnormal granulocyte count
HPO	HP:0005353	3	16	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	1.25e-07	3.17e-05	Recurrent herpes
HPO	HP:0002090	5	245	9606	ZAP70,CD3D,CD3E,CD247,LAT	ZAP70,CD3D,CD3E,CD247,LAT	1.37e-07	3.28e-05	Pneumonia
HPO	HP:0011947	6	556	9606	ZAP70,CD3D,CD3E,CD247,LAT,LCK	ZAP70,CD3D,CD3E,CD247,LAT,LCK	2.14e-07	5.02e-05	Respiratory tract infection
HPO	HP:0012649	7	981	9606	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	2.15e-07	5.02e-05	Increased inflammatory response
HPO	HP:0006532	4	100	9606	CD3D,CD3E,CD247,LAT	CD3D,CD3E,CD247,LAT	2.35e-07	5.11e-05	Recurrent pneumonia
HPO	HP:0003271	6	614	9606	CBL,ZAP70,CD3D,CD3E,CD247,LAT	CBL,ZAP70,CD3D,CD3E,CD247,LAT	3.82e-07	7.88e-05	Visceromegaly
HPO	HP:0012252	7	1067	9606	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	3.81e-07	7.88e-05	Abnormal respiratory system morphology
HPO	HP:0002960	4	122	9606	ZAP70,CD247,LAT,LCK	ZAP70,CD247,LAT,LCK	5.07e-07	9.99e-05	Autoimmunity
HPO	HP:0032101	6	748	9606	ZAP70,CD3D,CD3E,CD247,LAT,LCK	ZAP70,CD3D,CD3E,CD247,LAT,LCK	1.2e-06	0.00022	Unusual infection
HPO	HP:0004325	7	1274	9606	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	1.26e-06	0.00023	Decreased body weight
HPO	HP:0010978	7	1347	9606	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	1.84e-06	0.00033	Abnormality of immune system physiology
HPO	HP:0005403	3	50	9606	ZAP70,CD247,LCK	ZAP70,CD247,LCK	2.98e-06	0.00052	T lymphocytopenia
HPO	HP:0001019	3	52	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	3.34e-06	0.00057	Erythroderma
HPO	HP:0011123	5	479	9606	CBL,ZAP70,CD3D,CD3E,CD247	CBL,ZAP70,CD3D,CD3E,CD247	3.58e-06	0.0006	Inflammatory abnormality of the skin
HPO	HP:0001508	6	949	9606	ZAP70,CD3D,CD3E,CD247,LAT,LCK	ZAP70,CD3D,CD3E,CD247,LAT,LCK	4.77e-06	0.00076	Failure to thrive
HPO	HP:0004315	3	59	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	4.8e-06	0.00076	Decreased circulating IgG level
HPO	HP:0011122	5	524	9606	CBL,ZAP70,CD3D,CD3E,CD247	CBL,ZAP70,CD3D,CD3E,CD247	5.52e-06	0.00085	Abnormality of skin physiology
HPO	HP:0025031	8	2389	9606	TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LAT,LCK	5.55e-06	0.00085	Abnormality of the digestive system
HPO	HP:0010702	3	68	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	7.24e-06	0.0011	Increased circulating antibody level
HPO	HP:0012115	3	74	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	9.25e-06	0.0013	Hepatitis
HPO	HP:0025032	7	1763	9606	TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LCK	TYROBP,CBL,ZAP70,CD3D,CD3E,CD247,LCK	1.11e-05	0.0016	Abnormality of digestive system physiology
HPO	HP:0001878	3	101	9606	ZAP70,CD247,LAT	ZAP70,CD247,LAT	2.28e-05	0.0032	Hemolytic anemia
HPO	HP:0410042	5	715	9606	CBL,ZAP70,CD3D,CD3E,CD247	CBL,ZAP70,CD3D,CD3E,CD247	2.47e-05	0.0033	Abnormal liver morphology
HPO	HP:0002716	3	136	9606	CBL,ZAP70,LAT	CBL,ZAP70,LAT	5.43e-05	0.0071	Lymphadenopathy
HPO	HP:0002733	3	147	9606	CBL,ZAP70,LAT	CBL,ZAP70,LAT	6.82e-05	0.0088	Abnormal lymph node morphology
HPO	HP:0001903	4	498	9606	CBL,ZAP70,CD247,LAT	CBL,ZAP70,CD247,LAT	0.00012	0.0151	Anemia
HPO	HP:0012475	2	29	9606	ZAP70,CD247	ZAP70,CD247	0.00013	0.0163	Decreased circulating level of specific antibody
HPO	HP:0004798	2	30	9606	ZAP70,CD3E	ZAP70,CD3E	0.00014	0.0172	Recurrent infection of the gastrointestinal tract
HPO	HP:0032218	2	32	9606	LAT,LCK	LAT,LCK	0.00016	0.0192	Decreased proportion of CD4-positive T cells
HPO	HP:0001890	2	33	9606	ZAP70,CD247	ZAP70,CD247	0.00017	0.0202	Autoimmune hemolytic anemia
HPO	HP:0000388	3	203	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	0.00017	0.0209	Otitis media
HPO	HP:0001973	2	39	9606	ZAP70,LAT	ZAP70,LAT	0.00023	0.0264	Autoimmune thrombocytopenia
HPO	HP:0004377	3	232	9606	TYROBP,CBL,ZAP70	TYROBP,CBL,ZAP70	0.00026	0.0293	Hematological neoplasm
HPO	HP:0001945	3	238	9606	CD3D,CD3E,CD247	CD3D,CD3E,CD247	0.00028	0.0313	Fever
HPO	HP:0002756	2	49	9606	TYROBP,CBL	TYROBP,CBL	0.00036	0.0398	Pathologic fracture
NetworkNeighborAL	CL:17472	6	56	9606	LCP2,CBL,ZAP70,LAT,SHC1,VAV1	LCP2,CBL,ZAP70,LAT,SHC1,VAV1	3.45e-13	1.58e-09	Mixed, incl. GPVI-mediated activation cascade, and Insulin receptor binding
NetworkNeighborAL	CL:17538	5	23	9606	LCP2,CBL,ZAP70,LAT,VAV1	LCP2,CBL,ZAP70,LAT,VAV1	1.82e-12	2.78e-09	FCERI mediated Ca+2 mobilization, and B-cell antigen receptor complex-associated protein alpha/beta chain
NetworkNeighborAL	CL:15545	4	6	9606	CD3D,CD3E,CD247,LCK	CD3D,CD3E,CD247,LCK	1.1e-11	1.26e-08	Alpha-beta T cell receptor complex, and Pneumocystosis
NetworkNeighborAL	CL:17540	2	16	9606	LCP2,VAV1	LCP2,VAV1	4.31e-05	0.011	FCERI mediated Ca+2 mobilization, and B-cell antigen receptor complex-associated protein alpha/beta chain
